Focusing on dataset from 201124 to 201127 (each bird wore each headpack once),,,,,,,,,,,
"For determining if usable, I check if they properly land/takeoff on each perch (cant properly check from end2ini when there are obstacles; properly: both legs on perch)",,,,,,,,,,,
"For determining TO frame: visually checking in Nexus, selecting the frame when the head markers dip before jumping off the perch",,,,,,,,,,,
"For determining L frame: visually checking in Nexus, selecting the frame when the head markers dip first time on landing perch. *some of the frame_L_2 seem more like TO frame towards the falconer. It seems it is trials with no food drectly on the perch",,,,,,,,,,,
,,Way around obstacles: INI2END,Way around obstacles: END2INI,,,,,,,,
Trial name,Usable flight INI2END? ,(around-L / around-R / over / other),(around-L / around-R / over / other),Usable flight END2INI*?,Usable BOTH LEGS?,Headpack,Obstacles,frame_TO_1,frame_L_1,frame_TO_2,frame_L_2
201124_Drogon01,"no, not perched correctly in ini",,,yes,no,4m,no,,,,
201124_Drogon02,yes,,,yes,yes,4m,no,329,730,2512,3007
201124_Drogon03,yes,,,yes,yes,4m,no,573,923,2041,2431
201124_Drogon04,yes,,,yes,yes,4m,no,478,887,3019,3412
201124_Drogon05,yes,,,yes,yes,4m,no,942,1344,2821,3260
201124_Drogon06,yes,,,yes,yes,4m,no,730,1130,3842,4231
201124_Drogon07,yes,,,yes,yes,4m,no,528,908,1723,2128
201124_Drogon08,yes,,,yes,yes,4m,no,384,752,1671,2044
201124_Drogon09,yes,around-R,around-L,yes,yes,4m,yes,2883,3295,3928,4444
201124_Drogon10,yes,around-L,around-R,yes,yes,4m,yes,510,914,1710,2210
201124_Drogon11,yes,around-L,around-L,yes,yes,4m,yes,762,1168,1998,2377
201124_Drogon12,yes,around-R,around-R,yes,yes,4m,yes,814,1241,1634,2232
201124_Drogon13,yes,around-L,around-L,yes,yes,4m,yes,573,1018,1860,2404
201124_Drogon14,yes,around-L,around-R,yes,yes,4m,yes,1226,1635,2233,2677
201124_Drogon15,yes,around-R,around-R,yes,yes,4m,yes,872,1268,2113,2542
201124_Drogon16,yes,around-L,around-R,yes,yes,4m,yes,714,1145,1922,2303
201124_Toothless01,"no, touch and go",,,"no, didnt land on ini perch",no,lmax30ABS,no,,,,
201124_Toothless01bis,yes,,,"no, didnt land on ini perch",no,lmax30ABS,no,,,,
201124_Toothless02,"yes, both legs on perch but sort of jump",,,yes,no,lmax30ABS,no,,,,
201124_Toothless03,yes,,,yes,yes,lmax30ABS,no,303,679,1746,2128
201124_Toothless04,yes,,,yes,yes,lmax30ABS,no,450,827,1464,1846
201124_Toothless05,yes,,,yes,yes,lmax30ABS,no,463,880,1966,2360
201124_Toothless06,"no, didnt perch on ini perch",,,yes,no,lmax30ABS,no,,,,
201124_Toothless07,"no, didnt perch on ini perch",,,yes,no,lmax30ABS,no,,,,
201124_Toothless07bis,yes,,,yes,yes,lmax30ABS,no,454,851,1407,1791
201124_Toothless08,"yes, but a bit of a jump",,,yes,no,lmax30ABS,no,,,,
201124_Toothless09,yes,around-L,around-L,"yes, after a few flights back and forth",no,lmax30ABS,yes,,,,
201124_Toothless09bis,no,around-L,around-L,yes,no,lmax30ABS,yes,,,,
201124_Toothless10,yes,around-L,around-R,yes,yes,lmax30ABS,yes,665,1077,1847,2259
201124_Toothless11,yes,around-R,around-R,yes,yes,lmax30ABS,yes,325,723,1711,2119
201124_Toothless12,yes,around-R,over,"no, didnt land on ini perch",no,lmax30ABS,yes,,,,
201124_Toothless13,yes,around-R,around-R,"no, didnt land on ini perch",no,lmax30ABS,yes,,,,
201124_Toothless13bis,yes,around-R,around-R,yes,yes,lmax30ABS,yes,857,1344,2348,2758
201124_Toothless14,"no, didnt takeoff from ini perch",over,around-R,"no, didnt land on ini perch",no,lmax30ABS,yes,,,,
201124_Toothless14bis,yes,around-L,around-L,yes,yes,lmax30ABS,yes,2179,2577,3172,3636
201124_Toothless15,yes,around-R,around-R,"no, didnt land on ini perch",no,lmax30ABS,yes,,,,
201124_Toothless15bis,yes,around-R,around-R,yes,yes,lmax30ABS,yes,1762,2219,3187,3602
201124_Toothless16,yes,around-R,around-R,yes,yes,lmax30ABS,yes,1129,1595,2212,2666
201124_Charmander01,yes,,,yes,yes,lmax45,no,447,912,2525,2959
201124_Charmander02,yes in repetition,,,yes in repetition,no,lmax45,no,,,,
201124_Charmander03,yes,,,yes,yes,lmax45,no,1351,1812,2681,3095
201124_Charmander04,yes,,,yes,yes,lmax45,no,1461,1969,2680,3075
201124_Charmander05,yes,,,"no, takeoff from the floor",no,lmax45,no,,,,
201124_Charmander05bis,yes,,,yes,yes,lmax45,no,1218,1689,2347,2841
201124_Charmander06,yes,,,yes,yes,lmax45,no,616,1110,2693,3133
201124_Charmander07,yes,,,yes,yes,lmax45,no,538,1005,1870,2331
201124_Charmander08,yes,,,yes,yes,lmax45,no,528,1030,2051,2555
201124_Charmander09,yes,around-R,over,yes,yes,lmax45,yes,1872,2494,3075,3567
201124_Charmander10,yes,around-R,over,yes,yes,lmax45,yes,685,1155,1962,2448
201124_Charmander11,"no, perched in obstacles",over,over,"no, didnt get to end perch",no,lmax45,yes,,,,
201124_Charmander11bis,"no, perched in obstacles",over,over,yes,no,lmax45,yes,,,,
201124_Charmander11bis01,"no, perched in obstacles",over,around-R,yes,no,lmax45,yes,,,,
201124_Charmander11bis02,"yes, in second try Helen stood to the left and called",around-L,over,yes,no,lmax45,yes,,,,
201124_Charmander12,"yes, in third try",around-L,around-L,yes,no,lmax45,yes,,,,
201124_Charmander13,yes,around-L,over,yes,yes,lmax45,yes,1234,1734,2254,2760
201124_Charmander14,yes,"around-L, (doubtful)",over,yes,yes,lmax45,yes,752,1288,2107,2590
201124_Charmander15,yes,around-L,around-L,yes,yes,lmax45,yes,907,1374,2353,2833
201124_Charmander16,"yes, in second try",around-R,over,yes,no,lmax45,yes,,,,
201124_Ruby01,yes,,,yes,yes,lmax55,no,801,1226,2916,3376
201124_Ruby02,"yes, jump but both legs touch",,,yes,no,lmax55,no,,,,
201124_Ruby03,"yes, jump but both legs touch",,,yes,no,lmax55,no,,,,
201124_Ruby04,yes,,,yes,yes,lmax55,no,886,1378,3522,3968
201124_Ruby05,yes,,,yes,yes,lmax55,no,871,1302,2707,3158
201124_Ruby06,yes,,,yes,yes,lmax55,no,396,842,3022,3530
201124_Ruby07,yes,,,yes,yes,lmax55,no,454,875,2939,3385
201124_Ruby08,yes,,,yes,yes,lmax55,no,410,814,2001,2452
201124_Ruby09,yes,around-R,around-L/over,yes,yes,lmax55,yes,614,1126,2139,2663
201124_Ruby10,yes,around-R,around-R,yes,yes,lmax55,yes,661,1146,2364,2852
201124_Ruby11,yes,around-L,around-R,yes,yes,lmax55,yes,403,835,1920,2393
201124_Ruby12,yes,around-L,around-R,yes,yes,lmax55,yes,355,866,2667,3210
201124_Ruby13,yes,around-R,around-R,yes,yes,lmax55,yes,698,1193,2650,3133
201124_Ruby14,yes,around-R,around-R,yes,yes,lmax55,yes,343,803,2188,2663
201124_Ruby15,yes,around-L,over,yes,yes,lmax55,yes,551,998,2749,3254
201124_Ruby16,yes,around-L,around-L,yes,yes,lmax55,yes,488,933,1962,2493
201125_Drogon01,"yes* (tho there is no ref video, in mocap it does seem to pause at perch)",,,"yes* (tho there is no ref video, in mocap it does seem to pause at perch)",no,lmax30ABS,no,,,,
201125_Drogon02,yes,,,yes,yes,lmax30ABS,no,,,,
201125_Drogon03,yes,,,yes,yes,lmax30ABS,no,,,,
201125_Drogon04,"yes, sort of jump",,,yes,no,lmax30ABS,no,,,,
201125_Drogon05,yes ,,,"no, didnt land on ini perch (went thru)",no,lmax30ABS,no,,,,
201125_Drogon05bis,yes,,,yes,yes,lmax30ABS,no,,,,
201125_Drogon06,yes,,,yes,yes,lmax30ABS,no,,,,
201125_Drogon07,yes,,,"no, didnt land on ini perch (went thru)",no,lmax30ABS,no,,,,
201125_Drogon07bis,yes,,,yes,yes,lmax30ABS,no,,,,
201125_Drogon08,yes,,,yes,yes,lmax30ABS,no,,,,
201125_Drogon09,yes,around-R,around-R,yes,yes,lmax30ABS,yes,,,,
201125_Drogon10,yes,around-R,around-R,yes,yes,lmax30ABS,yes,,,,
201125_Drogon11,"yes, in second try",around-L,around-R,yes,no,lmax30ABS,yes,,,,
201125_Drogon12,yes,around-L,around-L,yes,yes,lmax30ABS,yes,,,,
201125_Drogon13,yes,around-L,around-L,yes,yes,lmax30ABS,yes,,,,
201125_Drogon14,yes,around-L,around-L,yes,yes,lmax30ABS,yes,,,,
201125_Drogon15,yes,around-L,around-R,yes,yes,lmax30ABS,yes,,,,
201125_Drogon16,yes,around-L,around-R,yes,yes,lmax30ABS,yes,,,,
201125_Toothless01,yes,,,"no, didnt land on perch",no,lmax45,no,,,,
201125_Toothless01bis,yes,,,yes,yes,lmax45,no,,,,
201125_Toothless02,yes,,,"no, didnt land on perch",no,lmax45,no,,,,
201125_Toothless02bis,yes,,,yes,yes,lmax45,no,,,,
201125_Toothless03,"yes, jump but both legs touch",,,yes,no,lmax45,no,,,,
